group;nurse;hr_rate;eda;class;time
3;2;0.5839714829459733;71.03;LAHV;4:10
3;3;0.5082505869346163;70.95;LAHV;4:10
3;1;0.4840628328380524;78.5;LAHV;4:25
3;2;0.6051953891512922;68.9;HAHV;4:25
3;3;0.5544554200287088;67.15;LAHV;4:25
3;1;0.5279890405182002;82.93;LAHV;4:43
3;2;0.6282569295849645;79.97;LAHV;4:43
3;3;0.5313542920318632;67.38;LAHV;4:43
3;1;0.5670337822088793;93.43;HAHV;5:27
3;2;0.561048189088184;98.7;LAHV;5:27
3;3;0.547855465901096;70.23;LAHV;5:27
3;1;0.4677938199853036;101.75;HAHV;5:45
3;2;0.6211132695019376;94.58;LAHV;5:45
3;3;0.42904340610205827;72.2;LAHV;5:45
3;1;0.48080915728977663;106.5;LAHV;5:58
3;2;0.6147967223137073;86.57;HAHV;5:58
3;3;0.48514945893777073;76.57;LAHV;5:58
3;1;0.3075450595639199;108.68;HAHV;6:7
3;2;0.5703276700225809;83.2;HAHV;6:7
3;3;0.5016506328070035;83.58;LAHV;6:7
3;1;0.2701268380916937;108.92;HAHV;6:10
3;2;0.5488511334838728;82.23;HAHV;6:10
3;3;0.48514945893777073;86.17;LAHV;6:10
3;1;0.3270677479649444;106.7;HAHV;6:23
3;2;0.564516186287754;78.7;HAHV;6:23
3;3;0.4026410124912056;97.18;LAHV;6:23
3;1;0.3181196638736586;105.33;HAHV;6:26
3;2;0.5662849930482285;77.73;HAHV;6:26
3;3;0.4521445340989039;99.0;LAHV;6:26
3;1;0.1961033377007825;98.0;LAHV;6:39
3;2;0.5480930452703302;73.35;HAHV;6:39
3;3;0.3927397927495857;104.97;LAHV;6:39
3;1;0.18383870203559555;93.22;LAHV;6:53
3;2;0.5571889205525918;73.4;HAHV;6:53
3;3;0.48184819332376366;106.23;LAHV;6:53
3;1;0.07971727382255121;86.75;LAHV;7:7
3;2;0.5384917121079151;73.28;LAHV;7:7
3;3;0.3168313004306334;102.25;LAHV;7:7
3;1;0.16838326684775817;84.52;LAHV;7:12
3;2;0.5756334986638794;73.53;HAHV;7:12
3;3;0.3036313921754077;99.87;LAHV;7:12
